Nome,Linguagem primária,Quantidade de stars,Watchers,Data de criação,Quantidade de forks,Lines of Code,URL
mypy, Python, 8171, 174, 2012-12-07, 1215, 112759, https://github.com/python/mypy
ballot-box, Python, 8, 2, 2015-03-13, 4, 669, https://github.com/gvanrossum/ballot-box
cpython, Python, 3, 1, 2015-11-05, 0, 78149, https://github.com/fake-python/cpython
make-stub-files, Python, 20, 3, 2016-01-26, 3, 4068, https://github.com/edreamleo/make-stub-files
com2ann, Python, 50, 6, 2016-09-09, 1, 1648, https://github.com/ilevkivskyi/com2ann
TatSu, Python, 148, 13, 2017-05-02, 34, 11608, https://github.com/neogeny/TatSu
mypy-dummy, Python, 6, 2, 2017-08-31, 0, 35, https://github.com/gvanrossum/mypy-dummy
pep550, Python, 7, 3, 2017-09-05, 1, 390, https://github.com/gvanrossum/pep550
mypy_extensions, Python, 69, 13, 2019-01-14, 10, 355, https://github.com/python/mypy_extensions
pygl, Python, 3, 2, 2019-04-27, 0, 4561, https://github.com/neogeny/pygl
pegen, Python, 151, 18, 2019-05-07, 19, 15350, https://github.com/gvanrossum/pegen
guidos_time_machine, Python, 52, 12, 2020-03-05, 2, 26, https://github.com/gvanrossum/guidos_time_machine
